Nome,ID_lattes
"Adriano Mauricio de Almeida Cortes
",8386103364234098
Celina Miraglia Herrera de Figueiredo,3957046121364560
Fábio Happ Botler,8154171198308578
Fábio Pereira dos Santos,3266981988847625
Franklin de Lima Marquezino,5727472788265998
Jayme Luiz Szwarcfiter,2002515486942024
Márcia Rosana Cerioli,0211300683784278
Sulamita Klein,5370222318394867
Claudio Luis de Amorim,9770406908381251
Diego Leonel Cadette Dutra,7816511618426042
Claudio Esperança,9237788190989316
Ricardo Farias,9063837162469343
Geraldo Bonorino Xexéo,4783565791787812
Geraldo Zimbrão da Silva,3937502490683382
Jano Moreira de Souza,8130520066599912
Marta Lima de Queirós Mattoso,1420784392366957
Claudia Maria Lima Werner,9719247117370600
Claudio Miceli de Farias,6243465206463403
Guilherme Horta Travassos,7541486051032916
Toacy Cavalcante de Oliveira,5171924915397166
Carlos Eduardo Pedreira,2718664296804955
Edmundo Albuquerque de Souza e Silva,9358511568098561
Felipe Maia Galvão França,1097952760431187
Gerson Zaverucha,5117568495536090
Valmir Carneiro Barbosa,4602221579308599
Henrique Luiz Cukierman,5815607228657970
Luiz Arthur Silva de Faria,5241207979816865
Abilio Pereira de Lucena Filho,0907883161698484
Laura Silvia Bahiense da Silva Leite,2291334095539768
Luidi Gelabert Simonetti,9521646119786469
Márcia Helena Costa Fampa,0523104569378276
Nelson Maculan Filho,4436183480921146
Pedro Henrique González Silva,5349830056087028
Priscila Machado Vieira Lima,2704717555047499
Rubem Pinto Mondaini,9046854525436944
Daniel Ratton Figueiredo,3621433615334969
José Ferreira de Rezende,8588117212005149
Luis Felipe Magalhães de Moraes ,3300753172279436
Rosa Maria Meri Leão,3553487130003978
