Sigla,Nome do evento em inglês,Nome do evento,Estrato
AAAI,AAAI Conference on Artificial Intelligence,Conferência AAAI sobre Inteligência Artificial,A1
AAMAS,International Conference on Autonomous Agents and Multiagent Systems,Conferência Internacional sobre Agentes Autônomos e Sistemas Multiagentes,A1
ACCV,Asian Conference on Computer Vision,Conferência Asiática sobre Visão Computacional,A1
ACII,International Conference on Affective Computing and Intelligent Interaction,Conferência Internacional sobre Computação Afetiva e Interação Inteligente,A2
ACISP,Australasian Conference on Information Security and Privacy,Conferência Australasiática sobre Segurança e Privacidade da Informação,A4
ACL,Annual Meeting of the Association for Computational Linguistics,Reunião Anual da Associação de Linguística Computacional,A1
ACMIDC,ACM Internacional Conference on Interaction Design and Children,Conferência Internacional ACM sobre Design de Interação e Crianças,A2
ACMIMX,ACM International Conference on Interactive Media Experiences,Conferência Internacional ACM sobre Experiências de Mídia Interativa,A3
ACMMM,ACM International Conference on Multimedia,Conferência Internacional ACM sobre Multimídia,A1
ACNS,Applied Cryptography and Network Security,Criptografia Aplicada e Segurança de Rede,A2
ACSOS,IEEE International Conference on Autonomic Computing and Self-Organizing Systems,Conferência Internacional IEEE sobre Computação Autonômica e Sistemas Auto-Organizáveis,A4
ADBIS,East European Conference on Advances in Databases and Information Systems,Conferência Leste Europeia sobre Avanços em Bancos de Dados e Sistemas de Informação,A3
ADVANCE,International Workshop on Advances in ICT Infrastructures and Services,Workshop Internacional sobre Avanços em Infraestruturas e Serviços de TIC,B4
AI,Canadian Conference on Artificial Intelligence,Conferência Canadense sobre Inteligência Artificial,A3
AICCSA,ACS/IEEE International Conference on Computer Systems and Applications,Conferência Internacional ACS/IEEE sobre Sistemas Computacionais e Aplicações,A4
AICT,International Conference on Application of Information and Communication Technologies,Conferência Internacional sobre Aplicação de Tecnologias de Informação e Comunicação,A4
AIDKE,"IEEE International Conference on Artificial Intelligence, Data and Knowledge Engineering","Conferência Internacional IEEE sobre Inteligência Artificial, Dados e Engenharia de Conhecimento",A4
AIED,International Conference on Artificial Intelligence in Education,Conferência Internacional sobre Inteligência Artificial na Educação,A2
AIES,"AAAI/ACM Conference on AI, Ethics, and Society","Conferência AAAI/ACM sobre IA, Ética e Sociedade",A1
AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,Conferência AAAI sobre Inteligência Artificial e Entretenimento Digital Interativo,A3
AIME,Conference on Artificial Intelligence in Medicine,Conferência sobre Inteligência Artificial na Medicina,A3
AINA,IEEE International Conference on Advanced Information Networking and Applications,Conferência Internacional IEEE sobre Redes de Informação Avançadas e Aplicações,A3
AISTATS,International Conference on Artificial Intelligence and Statistics,Conferência Internacional sobre Inteligência Artificial e Estatística,A1
AIWARE,ACM International Conference on AI-Powered Software,Conferência Internacional ACM sobre Software Impulsionado por IA,B3
AlCoB,International Conference on Algorithms for Computational Biology,Conferência Internacional sobre Algoritmos para Biologia Computacional,B2
ALIO/EURO,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,Conferência Internacional Conjunta ALIO/EURO sobre Otimização Combinatória Aplicada,B4
AMCIS,Americas Conference on Information Systems,Conferência das Américas sobre Sistemas de Informação,A2
ANT,"International Conference on Ambient Systems, Networks and Technologies","Conferência Internacional sobre Sistemas Ambientais, Redes e Tecnologias",B4
ARC,International Symposium on Applied Reconfigurable Computing,Simpósio Internacional sobre Computação Reconfigurável Aplicada,B1
ARCS,International Conference on Architecture of Computing Systems,Conferência Internacional sobre Arquitetura de Sistemas Computacionais,B3
ARES,"International Conference on Availability, Reliability and Security","Conferência Internacional sobre Disponibilidade, Confiabilidade e Segurança",A2
ASAP,"IEEE International Conference on Application-specific Systems, Architectures and Processors","Conferência Internacional IEEE sobre Sistemas, Arquiteturas e Processadores de Aplicação Específica",A3
ASE,IEEE/ACM International Conference on Automated Software Engineering,Conferência Internacional IEEE/ACM sobre Engenharia de Software Automatizada,A1
ASIACRYPT,Annual International Conference on the Theory and Applications of Cryptology and Information Security,Conferência Internacional Anual sobre Teoria e Aplicações de Criptologia e Segurança da Informação,A1
ASONAM,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,Conferência Internacional IEEE/ACM sobre Avanços em Análise e Mineração de Redes Sociais,A2
ASP-DAC,Asia and South Pacific Design Automation Conference,Conferência de Automação de Design da Ásia e Pacífico Sul,A1
AST,IEEE/ACM International Workshop on Automation of Software Testing,Workshop Internacional IEEE/ACM sobre Automação de Testes de Software,B4
ATC,USENIX Annual Technical Conference,Conferência Técnica Anual USENIX,A1
ATT,International Workshop on Agents in Traffic and Transportation,Workshop Internacional sobre Agentes em Tráfego e Transporte,B4
AUDIOMOSTLY,Audio Mostly Conference,Conferência Audio Mostly,A4
BCCA,International Conference on Blockchain Computing and Applications,Conferência Internacional sobre Computação e Aplicações de Blockchain,B2
BDCAT,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies","Conferência Internacional IEEE/ACM sobre Computação, Aplicações e Tecnologias de Big Data",B2
BDCLOUD,International Conference on Big Data and Cloud Computing,Conferência Internacional sobre Big Data e Computação em Nuvem,B4
BESC,"International Conference on Behavior, Economic and Social Computing","Conferência Internacional sobre Computação Comportamental, Econômica e Social",B3
BIBE,IEEE International Conference on BioInformatics and BioEngineering,Conferência Internacional IEEE sobre Bioinformática e Bioengenharia,A3
BIBM,IEEE International Conference on Bioinformatics and Biomedicine,Conferência Internacional IEEE sobre Bioinformática e Biomedicina,A3
BIGCOMP,International Conference on Big Data and Smart Computing,Conferência Internacional sobre Big Data e Computação Inteligente,A2
BIGDATA,IEEE International Conference on Big Data,Conferência Internacional IEEE sobre Big Data,A1
BIGMM,IEEE International Conference on Multimedia Big Data,Conferência Internacional IEEE sobre Big Data Multimídia,A3
BIOCOMP-WC,International Conference on Bioinformatics & Computational Biology,Conferência Internacional sobre Bioinformática e Biologia Computacional,B4
BioRob,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,Conferência Internacional IEEE RAS & EMBS sobre Robótica Biomédica e Biomecatrônica,A3
BLOCKCHAIN,IEEE International Conference on Blockchain,Conferência Internacional IEEE sobre Blockchain,A1
BMSB,IEEE International Symposium on Broadband Multimedia Systems and Broadcasting,Simpósio Internacional IEEE sobre Sistemas Multimídia de Banda Larga e Radiodifusão,B1
BMSD,International Business Modeling and Software Design Symposium,Simpósio Internacional de Modelagem de Negócios e Design de Software,B1
BMVC,British Machine Vision Conference,Conferência Britânica de Visão Computacional,A1
BPM,International Conference on Business Process Management,Conferência Internacional sobre Gestão de Processos de Negócios,A2
BPMS2,Workshop on Social and Human Aspects of Business Process Management,Workshop sobre Aspectos Sociais e Humanos da Gestão de Processos de Negócios,B4
BRACIS,Brazilian Conference on Intelligent Systems,Conferência Brasileira de Sistemas Inteligentes,A3
BRASERO,Brazilian Workshop on Service Robotics,Workshop Brasileiro de Robótica de Serviço,B4
BRASNAM,Brazilian Workshop on Social Network Analysis and Mining,Workshop Brasileiro de Análise e Mineração de Redes Sociais,B1
BRESCI,Brazilian e-Science Workshop,Workshop Brasileiro de e-Ciência,B4
BSB,Brazilian Symposium on Bioinformatics,Simpósio Brasileiro de Bioinformática,B1
BSN,IEEE-EMBS International Conference on Wearable and Implantable Body Sensor Networks,Conferência Internacional IEEE-EMBS sobre Redes de Sensores Corporais Vestíveis e Implantáveis,A3
BTAS,"IEEE International Conference on Biometrics: Theory, Applications, and Systems","Conferência Internacional IEEE sobre Biometria: Teoria, Aplicações e Sistemas",A2
