id_lattes,orcid_id,scopus_author_id,nome_referencia,data_ingresso
8386103364234098,0000-0002-2941-2522,56405183700,Adriano Mauricio de Almeida Cortes,2023
3957046121364560,0000-0002-6393-0876,7004168896,Celina Miraglia Herrera de Figueiredo,1991
5727472788265998,0000-0001-9712-1930,23991001200,Franklin de Lima Marquezino,2011
2002515486942024,0000-0002-7538-7305,6603938094,Jayme Luiz Szwarcfiter,1971
0211300683784278,0000-0002-9712-3140,6603427338,Márcia Rosana Cerioli,2000
7816511618426042,0000-0003-4262-7242,57207547492,Diego Leonel Cadette Dutra,2020
9237788190989316,0000-0002-4942-3624,6603645276,Claudio Esperança,1998
9063837162469343,0000-0002-2411-3101,35253367600,Ricardo Farias,2003
4783565791787812,0000-0003-3975-9076,34267940700,Geraldo Bonorino Xexéo,1995
3937502490683382,0000-0001-9150-229X,8896320900,Geraldo Zimbrão da Silva,2000
8130520066599912,0000-0001-5080-1955,7103050923,Jano Moreira de Souza,1976
1420784392366957,0000-0002-0870-3371,6602555822,Marta Lima de Queirós Mattoso,1994
9719247117370600,0000-0002-4231-9621,7201754422,Claudia Maria Lima Werner,1994
6243465206463403,0000-0002-1927-7398,35519418700,Claudio Miceli de Farias,2020
7541486051032916,0000-0002-4258-0424,6603459594,Guilherme Horta Travassos,1996
2718664296804955,0000-0002-9312-4023,7003952436,Carlos Eduardo Pedreira,2014
9358511568098561,0000-0003-0912-7860,7003644929,Edmundo Albuquerque de Souza e Silva,1989
5117568495536090,0000-0002-3641-6839,6601938210,Gerson Zaverucha,1993
5815607228657970,0000-0001-7095-5708,6505850415,Henrique Luiz Cukierman,2002
5241207979816865,0000-0001-6456-8015,,Luiz Arthur Silva de Faria,2024
2291334095539768,0000-0001-8175-8320,6507118748,Laura Silvia Bahiense da Silva Leite,2018
9521646119786469,0000-0001-8273-9439,23490732200,Luidi Gelabert Simonetti,2015
0523104569378276,0000-0002-6254-1510,6602244267,Márcia Helena Costa Fampa,1997
4436183480921146,0000-0002-3897-3356,6701686111,Nelson Maculan Filho,1971
5349830056087028,0000-0003-0057-7670,15753781000,Pedro Henrique González Silva,2023
2704717555047499,0000-0002-8515-9904,12752871900,Priscila Machado Vieira Lima,2019
9046854525436944,0000-0001-8512-531X,57214687255,Rubem Pinto Mondaini,1998
3621433615334969,0000-0001-9341-6619,56145086000,Daniel Ratton Figueiredo,2007
8588117212005149,0000-0002-5660-6488,7006343277,José Ferreira de Rezende,2014
3553487130003978,0000-0001-6411-9252,35778596500,Rosa Maria Meri Leão,1997
1511298432327033,0000-0003-2987-4732,23398339800,Daniel Serrão Schneider,2025
