id_lattes,orcid_id,scopus_author_id,nome_referencia
8386103364234098,,,Adriano Mauricio de Almeida Cortes
3957046121364560,,,Celina Miraglia Herrera de Figueiredo
8154171198308578,,,Fábio Happ Botler
3266981988847625,,,Fábio Pereira dos Santos
5727472788265998,,,Franklin de Lima Marquezino
2002515486942024,,,Jayme Luiz Szwarcfiter
0211300683784278,,,Márcia Rosana Cerioli
5370222318394867,,,Sulamita Klein
9770406908381251,,,Claudio Luis de Amorim
7816511618426042,,,Diego Leonel Cadette Dutra
9237788190989316,,,Claudio Esperança
9063837162469343,,,Ricardo Farias
4783565791787812,,,Geraldo Bonorino Xexéo
3937502490683382,,,Geraldo Zimbrão da Silva
8130520066599912,,,Jano Moreira de Souza
1420784392366957,,,Marta Lima de Queirós Mattoso
9719247117370600,,,Claudia Maria Lima Werner
6243465206463403,,,Claudio Miceli de Farias
7541486051032916,,,Guilherme Horta Travassos
5171924915397166,,,Toacy Cavalcante de Oliveira
2718664296804955,,,Carlos Eduardo Pedreira
9358511568098561,,,Edmundo Albuquerque de Souza e Silva
1097952760431187,,,Felipe Maia Galvão França
5117568495536090,,,Gerson Zaverucha
4602221579308599,,,Valmir Carneiro Barbosa
5815607228657970,,,Henrique Luiz Cukierman
5241207979816865,,,Luiz Arthur Silva de Faria
0907883161698484,,,Abilio Pereira de Lucena Filho
2291334095539768,,,Laura Silvia Bahiense da Silva Leite
9521646119786469,,,Luidi Gelabert Simonetti
0523104569378276,,,Márcia Helena Costa Fampa
4436183480921146,,,Nelson Maculan Filho
5349830056087028,,,Pedro Henrique González Silva
2704717555047499,,,Priscila Machado Vieira Lima
9046854525436944,,,Rubem Pinto Mondaini
3621433615334969,,,Daniel Ratton Figueiredo
8588117212005149,,,José Ferreira de Rezende
3300753172279436,,,Luis Felipe Magalhães de Moraes
3553487130003978,,,Rosa Maria Meri Leão
