idlattes,nome
4394162331037750,Alberto Barbosa Raposo
0807511237795775,Alessandro Fabricio Garcia
6039007393332552,Eduardo Sany Laber
6075905438020841,Edward Hermann Haeusler
3617813687111663,Greis Francy Mireya Silva Calpa
9199970180870105,Hélio Côrtes Vieira Lopes
6620778250608191,José Alberto Rodrigues Pereira Sardinha
3894389473532167,Juliana Alves Pereira
7454736736043931,Marcelo Gattass
1656881663114095,Marco Serpa Molinaro
1095304607841635,Marcos Kalinowski
0833253899619895,Marcus Poggi
6505039023842313,Markus Endler
3762142722427704,Paulo Ivson Netto Santos
6823993478179598,Rafael Martinelli
1104157433492666,Sérgio Colcher
8164403687403639,Sérgio Lifschitz
9222024053983021,Simone Diniz Junqueira Barbosa
6533801740375459,Waldemar Celes Filho
1621729459222873,Antonio L. Furtado
8249534204731109,Bruno Feijó
2491891766759477,Carlos José Pereira de Lucena
4031565135568125,Clarisse Sieckenius de Souza
0400232298849115,Marco Antonio Casanova
0427692772445368,Roberto Ierusalimschy
